X:526,O:350,T:124
X:470,O:398,T:132
X:509,O:378,T:113
X:510,O:371,T:119
X:503,O:374,T:123
X:477,O:388,T:135
X:480,O:387,T:133
X:505,O:361,T:134
X:505,O:383,T:112
X:533,O:353,T:114
X:509,O:371,T:120
X:501,O:367,T:132
X:515,O:353,T:132
X:489,O:382,T:129
X:523,O:367,T:110
X:489,O:384,T:127
X:526,O:344,T:130
X:507,O:364,T:129
X:509,O:371,T:120
X:501,O:385,T:114
X:504,O:383,T:113
X:498,O:371,T:131
X:495,O:379,T:126
X:499,O:383,T:118
X:497,O:375,T:128
X:519,O:364,T:117
X:483,O:396,T:121
X:504,O:373,T:123
X:505,O:372,T:123
X:480,O:395,T:125
X:509,O:363,T:128
X:516,O:392,T:92
X:455,O:402,T:143
X:527,O:356,T:117
X:479,O:405,T:116
X:525,O:330,T:145
X:510,O:359,T:131
X:523,O:370,T:107
X:510,O:370,T:120
X:490,O:379,T:131
X:510,O:352,T:138
X:501,O:361,T:138
X:521,O:366,T:113
X:493,O:373,T:134
X:502,O:383,T:115
X:511,O:398,T:91
X:556,O:335,T:109
X:488,O:392,T:120
X:515,O:362,T:123
X:492,O:375,T:133
X:505,O:368,T:127
X:510,O:385,T:105
X:509,O:373,T:118
X:522,O:380,T:98
X:515,O:377,T:108
X:467,O:420,T:113
X:500,O:382,T:118
X:467,O:409,T:124
X:515,O:366,T:119
X:505,O:382,T:113
X:516,O:378,T:106
X:501,O:366,T:133
X:500,O:385,T:115
X:520,O:365,T:115
X:535,O:357,T:108
X:511,O:371,T:118
X:514,O:377,T:109
X:518,O:351,T:131
X:507,O:392,T:101
X:503,O:357,T:140
X:518,O:359,T:123
X:499,O:384,T:117
X:525,O:360,T:115
X:510,O:375,T:115
X:506,O:370,T:124
X:494,O:385,T:121
X:525,O:352,T:123
X:496,O:383,T:121
X:498,O:383,T:119
X:494,O:387,T:119
X:507,O:380,T:113
X:472,O:398,T:130
X:500,O:386,T:114
X:485,O:396,T:119
X:497,O:380,T:123
X:530,O:343,T:127
X:506,O:387,T:107
X:455,O:405,T:140
X:477,O:403,T:120
X:511,O:365,T:124
X:496,O:388,T:116
X:503,O:386,T:111
X:522,O:360,T:118
X:487,O:384,T:129
X:499,O:388,T:113
X:482,O:395,T:123
X:520,O:379,T:101
X:508,O:372,T:120
X:491,O:381,T:128
X:519,O:370,T:111
X:503,O:385,T:112
X:501,O:376,T:123
X:506,O:355,T:139
X:499,O:367,T:134
X:485,O:388,T:127
X:520,O:368,T:112
X:506,O:362,T:132
X:519,O:357,T:124
X:502,O:384,T:114
X:519,O:371,T:110
X:500,O:385,T:115
X:482,O:378,T:140
X:505,O:368,T:127
X:518,O:361,T:121
X:485,O:384,T:131
X:505,O:382,T:113
X:503,O:378,T:119
X:509,O:392,T:99
X:523,O:375,T:102
X:500,O:372,T:128
X:531,O:361,T:108
X:509,O:372,T:119
X:502,O:382,T:116
X:538,O:355,T:107
X:510,O:364,T:126
X:497,O:398,T:105
X:523,O:368,T:109
X:513,O:375,T:112
X:496,O:380,T:124
